RUN	activitiadmissiondatabase.ProcessTestWithRTLSimulation	processtestwithrtlsimulation	1545793351679	 	3.0.1.1
REQUEST	15		completeTask	1545793359742	1545793359818	OK	 
REQUEST	8		getCurrentSingleTask	1545793359832	1545793359840	OK	 
REQUEST	22		startProcessInstanceById	1545793359782	1545793359854	OK	 
REQUEST	12		getCurrentSingleTask	1545793359862	1545793359874	OK	 
USER	auto online shopping2	26	START	1545793359892	1545793359892
REQUEST	19		getCurrentSingleTask	1545793359882	1545793359897	OK	 
REQUEST	13		getCurrentSingleTask	1545793359983	1545793359994	OK	 
REQUEST	10		completeTask	1545793359942	1545793360026	OK	 
USER	auto online shopping2	27	START	1545793360092	1545793360092
REQUEST	3		completeTask	1545793360014	1545793360094	OK	 
REQUEST	23		startProcessInstanceById	1545793360061	1545793360155	OK	 
REQUEST	20		getCurrentSingleTask	1545793360155	1545793360165	OK	 
REQUEST	6		completeTask	1545793360123	1545793360195	OK	 
REQUEST	16		completeTask	1545793360081	1545793360197	OK	 
REQUEST	14		getCurrentSingleTask	1545793360233	1545793360246	OK	 
REQUEST	5		completeTask	1545793360201	1545793360295	OK	 
USER	auto online shopping2	28	START	1545793360296	1545793360296
REQUEST	7		completeTask	1545793360264	1545793360344	OK	 
REQUEST	24		startProcessInstanceById	1545793360311	1545793360391	OK	 
REQUEST	21		getCurrentSingleTask	1545793360405	1545793360414	OK	 
REQUEST	17		completeTask	1545793360342	1545793360426	OK	 
USER	auto online shopping2	29	START	1545793360498	1545793360498
REQUEST	1		completeTask	1545793360373	1545793360536	OK	 
REQUEST	4		completeTask	1545793360451	1545793360584	OK	 
REQUEST	2		completeTask	1545793360471	1545793360587	OK	 
REQUEST	18		completeTask	1545793360514	1545793360612	OK	 
REQUEST	9		getCurrentSingleTask	1545793360621	1545793360631	OK	 
REQUEST	25		startProcessInstanceById	1545793360561	1545793360639	OK	 
REQUEST	15		getCurrentSingleTask	1545793360651	1545793360659	OK	 
REQUEST	11		completeTask	1545793360581	1545793360676	OK	 
USER	auto online shopping2	30	START	1545793360691	1545793360691
REQUEST	22		getCurrentSingleTask	1545793360721	1545793360733	OK	 
REQUEST	8		completeTask	1545793360691	1545793360784	OK	 
REQUEST	12		completeTask	1545793360761	1545793360826	OK	 
REQUEST	26		startProcessInstanceById	1545793360802	1545793360881	OK	 
USER	auto online shopping2	31	START	1545793360892	1545793360892
REQUEST	10		getCurrentSingleTask	1545793360892	1545793360905	OK	 
REQUEST	19		completeTask	1545793360832	1545793360935	OK	 
REQUEST	3		getCurrentSingleTask	1545793360987	1545793360996	OK	 
REQUEST	13		completeTask	1545793360862	1545793360997	OK	 
REQUEST	23		getCurrentSingleTask	1545793361018	1545793361025	OK	 
REQUEST	27		startProcessInstanceById	1545793360956	1545793361039	OK	 
REQUEST	6		getCurrentSingleTask	1545793361081	1545793361088	OK	 
REQUEST	16		getCurrentSingleTask	1545793361112	1545793361123	OK	 
REQUEST	20		completeTask	1545793361050	1545793361124	OK	 
USER	auto online shopping2	32	START	1545793361143	1545793361143
REQUEST	5		getCurrentSingleTask	1545793361161	1545793361169	OK	 
REQUEST	14		completeTask	1545793361131	1545793361193	OK	 
REQUEST	7		getCurrentSingleTask	1545793361237	1545793361246	OK	 
REQUEST	28		startProcessInstanceById	1545793361206	1545793361265	OK	 
REQUEST	24		getCurrentSingleTask	1545793361268	1545793361281	OK	 
REQUEST	17		getCurrentSingleTask	1545793361331	1545793361340	OK	 
REQUEST	21		completeTask	1545793361299	1545793361375	OK	 
USER	auto online shopping2	33	START	1545793361393	1545793361393
REQUEST	1		getCurrentSingleTask	1545793361381	1545793361395	OK	 
REQUEST	4		getCurrentSingleTask	1545793361411	1545793361425	OK	 
REQUEST	2		getCurrentSingleTask	1545793361441	1545793361454	OK	 
REQUEST	29		startProcessInstanceById	1545793361362	1545793361465	OK	 
REQUEST	18		getCurrentSingleTask	1545793361487	1545793361501	OK	 
REQUEST	25		getCurrentSingleTask	1545793361549	1545793361558	OK	 
REQUEST	9		completeTask	1545793361518	1545793361579	OK	 
REQUEST	11		getCurrentSingleTask	1545793361606	1545793361613	OK	 
USER	auto online shopping2	34	START	1545793361646	1545793361646
REQUEST	15		completeTask	1545793361576	1545793361659	OK	 
REQUEST	8		getCurrentSingleTask	1545793361696	1545793361703	OK	 
REQUEST	30		startProcessInstanceById	1545793361636	1545793361707	OK	 
REQUEST	12		getCurrentSingleTask	1545793361732	1545793361741	OK	 
REQUEST	22		completeTask	1545793361666	1545793361752	OK	 
REQUEST	26		getCurrentSingleTask	1545793361761	1545793361770	OK	 
REQUEST	31		startProcessInstanceById	1545793361791	1545793361857	OK	 
REQUEST	19		getCurrentSingleTask	1545793361861	1545793361869	OK	 
USER	auto online shopping2	35	START	1545793361891	1545793361891
REQUEST	10		completeTask	1545793361821	1545793361906	OK	 
REQUEST	13		getCurrentSingleTask	1545793361892	1545793361907	OK	 
REQUEST	3		completeTask	1545793361881	1545793361963	OK	 
USER	auto online shopping2	3	END	1545793354302	1545793361993
REQUEST	23		completeTask	1545793361938	1545793362010	OK	 
REQUEST	27		getCurrentSingleTask	1545793361969	1545793362011	OK	 
REQUEST	20		getCurrentSingleTask	1545793362047	1545793362056	OK	 
REQUEST	6		completeTask	1545793362000	1545793362077	OK	 
USER	auto online shopping2	6	END	1545793354901	1545793362077
REQUEST	16		completeTask	1545793362031	1545793362111	OK	 
USER	auto online shopping2	36	START	1545793362141	1545793362141
REQUEST	14		getCurrentSingleTask	1545793362141	1545793362148	OK	 
REQUEST	32		startProcessInstanceById	1545793362078	1545793362151	OK	 
REQUEST	5		completeTask	1545793362109	1545793362201	OK	 
USER	auto online shopping2	5	END	1545793354701	1545793362201
REQUEST	28		getCurrentSingleTask	1545793362187	1545793362204	OK	 
REQUEST	7		completeTask	1545793362156	1545793362236	OK	 
USER	auto online shopping2	7	END	1545793355162	1545793362236
REQUEST	21		getCurrentSingleTask	1545793362281	1545793362290	OK	 
REQUEST	24		completeTask	1545793362219	1545793362295	OK	 
REQUEST	17		completeTask	1545793362250	1545793362330	OK	 
REQUEST	33		startProcessInstanceById	1545793362297	1545793362358	OK	 
USER	auto online shopping2	37	START	1545793362391	1545793362391
REQUEST	1		completeTask	1545793362328	1545793362399	OK	 
USER	auto online shopping2	1	END	1545793353888	1545793362399
REQUEST	29		getCurrentSingleTask	1545793362406	1545793362414	OK	 
REQUEST	4		completeTask	1545793362359	1545793362436	OK	 
USER	auto online shopping2	4	END	1545793354505	1545793362437
REQUEST	2		completeTask	1545793362391	1545793362479	OK	 
USER	auto online shopping2	2	END	1545793354101	1545793362479
REQUEST	9		getCurrentSingleTask	1545793362500	1545793362507	OK	 
REQUEST	18		completeTask	1545793362437	1545793362512	OK	 
REQUEST	25		completeTask	1545793362469	1545793362545	OK	 
REQUEST	15		getCurrentSingleTask	1545793362577	1545793362588	OK	 
REQUEST	11		completeTask	1545793362531	1545793362603	OK	 
USER	auto online shopping2	38	START	1545793362631	1545793362631
REQUEST	34		startProcessInstanceById	1545793362547	1545793362638	OK	 
REQUEST	30		getCurrentSingleTask	1545793362631	1545793362646	OK	 
REQUEST	8		completeTask	1545793362601	1545793362670	OK	 
USER	auto online shopping2	8	END	1545793355401	1545793362671
REQUEST	22		getCurrentSingleTask	1545793362682	1545793362693	OK	 
REQUEST	12		completeTask	1545793362651	1545793362729	OK	 
REQUEST	31		getCurrentSingleTask	1545793362742	1545793362749	OK	 
REQUEST	26		completeTask	1545793362712	1545793362787	OK	 
REQUEST	10		getCurrentSingleTask	1545793362822	1545793362831	OK	 
REQUEST	19		completeTask	1545793362772	1545793362851	OK	 
REQUEST	35		startProcessInstanceById	1545793362792	1545793362879	OK	 
USER	auto online shopping2	39	START	1545793362882	1545793362882
REQUEST	23		getCurrentSingleTask	1545793362882	1545793362895	OK	 
REQUEST	13		completeTask	1545793362842	1545793362914	OK	 
REQUEST	27		completeTask	1545793362883	1545793362966	OK	 
REQUEST	16		getCurrentSingleTask	1545793362956	1545793362967	OK	 
REQUEST	20		completeTask	1545793362932	1545793363018	OK	 
REQUEST	32		getCurrentSingleTask	1545793363034	1545793363042	OK	 
REQUEST	36		startProcessInstanceById	1545793362987	1545793363061	OK	 
REQUEST	14		completeTask	1545793363002	1545793363098	OK	 
REQUEST	24		getCurrentSingleTask	1545793363112	1545793363120	OK	 
REQUEST	28		completeTask	1545793363051	1545793363130	OK	 
REQUEST	17		getCurrentSingleTask	1545793363131	1545793363141	OK	 
USER	auto online shopping2	40	START	1545793363143	1545793363143
REQUEST	21		completeTask	1545793363081	1545793363169	OK	 
REQUEST	33		getCurrentSingleTask	1545793363159	1545793363170	OK	 
REQUEST	18		getCurrentSingleTask	1545793363252	1545793363265	OK	 
REQUEST	37		startProcessInstanceById	1545793363190	1545793363269	OK	 
REQUEST	25		getCurrentSingleTask	1545793363284	1545793363293	OK	 
REQUEST	29		completeTask	1545793363205	1545793363314	OK	 
REQUEST	9		completeTask	1545793363237	1545793363347	OK	 
USER	auto online shopping2	9	END	1545793355651	1545793363347
REQUEST	11		getCurrentSingleTask	1545793363331	1545793363348	OK	 
USER	auto online shopping2	41	START	1545793363393	1545793363393
REQUEST	34		getCurrentSingleTask	1545793363381	1545793363395	OK	 
REQUEST	15		completeTask	1545793363301	1545793363399	OK	 
REQUEST	12		getCurrentSingleTask	1545793363455	1545793363464	OK	 
REQUEST	38		startProcessInstanceById	1545793363362	1545793363473	OK	 
REQUEST	26		getCurrentSingleTask	1545793363502	1545793363512	OK	 
REQUEST	30		completeTask	1545793363409	1545793363545	OK	 
REQUEST	19		getCurrentSingleTask	1545793363551	1545793363559	OK	 
REQUEST	22		completeTask	1545793363440	1545793363581	OK	 
REQUEST	35		getCurrentSingleTask	1545793363584	1545793363593	OK	 
REQUEST	10		completeTask	1545793363534	1545793363625	OK	 
USER	auto online shopping2	10	END	1545793355906	1545793363626
REQUEST	31		completeTask	1545793363487	1545793363626	OK	 
USER	auto online shopping2	42	START	1545793363644	1545793363644
REQUEST	13		getCurrentSingleTask	1545793363654	1545793363662	OK	 
REQUEST	27		getCurrentSingleTask	1545793363674	1545793363681	OK	 
REQUEST	39		startProcessInstanceById	1545793363604	1545793363712	OK	 
REQUEST	20		getCurrentSingleTask	1545793363714	1545793363724	OK	 
REQUEST	23		completeTask	1545793363634	1545793363756	OK	 
REQUEST	36		getCurrentSingleTask	1545793363771	1545793363782	OK	 
REQUEST	16		completeTask	1545793363694	1545793363790	OK	 
REQUEST	14		getCurrentSingleTask	1545793363811	1545793363820	OK	 
REQUEST	32		completeTask	1545793363741	1545793363823	OK	 
REQUEST	28		getCurrentSingleTask	1545793363841	1545793363850	OK	 
USER	auto online shopping2	43	START	1545793363891	1545793363891
REQUEST	24		completeTask	1545793363821	1545793363898	OK	 
REQUEST	21		getCurrentSingleTask	1545793363922	1545793363932	OK	 
REQUEST	40		startProcessInstanceById	1545793363882	1545793363962	OK	 
REQUEST	17		completeTask	1545793363871	1545793364002	OK	 
REQUEST	37		getCurrentSingleTask	1545793363989	1545793364002	OK	 
REQUEST	33		completeTask	1545793363941	1545793364032	OK	 
REQUEST	29		getCurrentSingleTask	1545793364036	1545793364043	OK	 
REQUEST	18		completeTask	1545793363974	1545793364065	OK	 
REQUEST	25		completeTask	1545793364021	1545793364099	OK	 
REQUEST	11		completeTask	1545793364052	1545793364133	OK	 
USER	auto online shopping2	11	END	1545793356141	1545793364133
REQUEST	15		getCurrentSingleTask	1545793364130	1545793364139	OK	 
USER	auto online shopping2	44	START	1545793364146	1545793364146
REQUEST	41		startProcessInstanceById	1545793364083	1545793364163	OK	 
REQUEST	38		getCurrentSingleTask	1545793364177	1545793364184	OK	 
REQUEST	34		completeTask	1545793364101	1545793364207	OK	 
REQUEST	30		getCurrentSingleTask	1545793364211	1545793364220	OK	 
REQUEST	12		completeTask	1545793364145	1545793364240	OK	 
USER	auto online shopping2	12	END	1545793356391	1545793364241
REQUEST	22		getCurrentSingleTask	1545793364270	1545793364280	OK	 
REQUEST	26		completeTask	1545793364192	1545793364293	OK	 
REQUEST	31		getCurrentSingleTask	1545793364302	1545793364312	OK	 
REQUEST	19		completeTask	1545793364239	1545793364349	OK	 
USER	auto online shopping2	45	START	1545793364396	1545793364396
REQUEST	35		completeTask	1545793364286	1545793364408	OK	 
REQUEST	39		getCurrentSingleTask	1545793364395	1545793364409	OK	 
REQUEST	42		startProcessInstanceById	1545793364333	1545793364448	OK	 
REQUEST	13		completeTask	1545793364351	1545793364460	OK	 
USER	auto online shopping2	13	END	1545793356641	1545793364461
REQUEST	23		getCurrentSingleTask	1545793364442	1545793364461	OK	 
REQUEST	16		getCurrentSingleTask	1545793364489	1545793364497	OK	 
REQUEST	27		completeTask	1545793364380	1545793364529	OK	 
REQUEST	32		getCurrentSingleTask	1545793364536	1545793364544	OK	 
REQUEST	20		completeTask	1545793364427	1545793364568	OK	 
REQUEST	36		completeTask	1545793364461	1545793364569	OK	 
REQUEST	24		getCurrentSingleTask	1545793364591	1545793364598	OK	 
REQUEST	14		completeTask	1545793364520	1545793364616	OK	 
USER	auto online shopping2	14	END	1545793356892	1545793364616
USER	auto online shopping2	46	START	1545793364641	1545793364641
REQUEST	28		completeTask	1545793364552	1545793364650	OK	 
REQUEST	40		getCurrentSingleTask	1545793364651	1545793364673	OK	 
REQUEST	17		getCurrentSingleTask	1545793364671	1545793364678	OK	 
REQUEST	43		startProcessInstanceById	1545793364571	1545793364680	OK	 
REQUEST	33		getCurrentSingleTask	1545793364711	1545793364720	OK	 
REQUEST	21		completeTask	1545793364631	1545793364747	OK	 
REQUEST	18		getCurrentSingleTask	1545793364751	1545793364758	OK	 
REQUEST	25		getCurrentSingleTask	1545793364771	1545793364780	OK	 
REQUEST	37		completeTask	1545793364691	1545793364801	OK	 
REQUEST	41		getCurrentSingleTask	1545793364861	1545793364869	OK	 
REQUEST	29		completeTask	1545793364741	1545793364871	OK	 
USER	auto online shopping2	47	START	1545793364891	1545793364891
REQUEST	34		getCurrentSingleTask	1545793364882	1545793364893	OK	 
REQUEST	44		startProcessInstanceById	1545793364831	1545793364923	OK	 
REQUEST	15		completeTask	1545793364801	1545793364931	OK	 
USER	auto online shopping2	15	END	1545793357135	1545793364931
REQUEST	26		getCurrentSingleTask	1545793364971	1545793364985	OK	 
REQUEST	19		getCurrentSingleTask	1545793365011	1545793365019	OK	 
REQUEST	38		completeTask	1545793364881	1545793365025	OK	 
REQUEST	22		completeTask	1545793364959	1545793365063	OK	 
REQUEST	30		completeTask	1545793364921	1545793365064	OK	 
REQUEST	35		getCurrentSingleTask	1545793365057	1545793365067	OK	 
REQUEST	31		completeTask	1545793364991	1545793365093	OK	 
REQUEST	42		getCurrentSingleTask	1545793365091	1545793365099	OK	 
REQUEST	45		startProcessInstanceById	1545793365042	1545793365126	OK	 
USER	auto online shopping2	48	START	1545793365151	1545793365151
REQUEST	27		getCurrentSingleTask	1545793365151	1545793365159	OK	 
REQUEST	39		completeTask	1545793365073	1545793365164	OK	 
REQUEST	23		completeTask	1545793365120	1545793365195	OK	 
REQUEST	20		getCurrentSingleTask	1545793365201	1545793365210	OK	 
REQUEST	16		completeTask	1545793365136	1545793365226	OK	 
USER	auto online shopping2	16	END	1545793357391	1545793365227
REQUEST	36		getCurrentSingleTask	1545793365229	1545793365236	OK	 
REQUEST	32		completeTask	1545793365171	1545793365260	OK	 
REQUEST	28		getCurrentSingleTask	1545793365292	1545793365299	OK	 
REQUEST	24		completeTask	1545793365245	1545793365318	OK	 
REQUEST	46		startProcessInstanceById	1545793365261	1545793365350	OK	 
REQUEST	43		getCurrentSingleTask	1545793365341	1545793365354	OK	 
REQUEST	21		getCurrentSingleTask	1545793365386	1545793365394	OK	 
USER	auto online shopping2	49	START	1545793365401	1545793365401
REQUEST	40		completeTask	1545793365308	1545793365402	OK	 
REQUEST	17		completeTask	1545793365323	1545793365430	OK	 
USER	auto online shopping2	17	END	1545793357644	1545793365430
REQUEST	37		getCurrentSingleTask	1545793365448	1545793365455	OK	 
REQUEST	29		getCurrentSingleTask	1545793365495	1545793365503	OK	 
REQUEST	33		completeTask	1545793365370	1545793365527	OK	 
REQUEST	18		completeTask	1545793365401	1545793365569	OK	 
USER	auto online shopping2	18	END	1545793357896	1545793365570
REQUEST	41		completeTask	1545793365479	1545793365570	OK	 
REQUEST	25		completeTask	1545793365421	1545793365571	OK	 
REQUEST	44		getCurrentSingleTask	1545793365557	1545793365576	OK	 
REQUEST	47		startProcessInstanceById	1545793365511	1545793365591	OK	 
REQUEST	38		getCurrentSingleTask	1545793365604	1545793365613	OK	 
REQUEST	34		completeTask	1545793365542	1545793365627	OK	 
REQUEST	22		getCurrentSingleTask	1545793365634	1545793365641	OK	 
USER	auto online shopping2	50	START	1545793365644	1545793365644
REQUEST	30		getCurrentSingleTask	1545793365654	1545793365662	OK	 
REQUEST	19		completeTask	1545793365584	1545793365663	OK	 
USER	auto online shopping2	19	END	1545793358152	1545793365663
REQUEST	26		completeTask	1545793365561	1545793365665	OK	 
REQUEST	31		getCurrentSingleTask	1545793365694	1545793365701	OK	 
REQUEST	35		completeTask	1545793365674	1545793365739	OK	 
REQUEST	45		getCurrentSingleTask	1545793365734	1545793365742	OK	 
REQUEST	42		completeTask	1545793365714	1545793365787	OK	 
REQUEST	39		getCurrentSingleTask	1545793365795	1545793365802	OK	 
REQUEST	23		getCurrentSingleTask	1545793365815	1545793365821	OK	 
REQUEST	48		startProcessInstanceById	1545793365764	1545793365850	OK	 
REQUEST	32		getCurrentSingleTask	1545793365865	1545793365874	OK	 
REQUEST	27		completeTask	1545793365775	1545793365886	OK	 
USER	auto online shopping2	51	START	1545793365895	1545793365895
REQUEST	20		completeTask	1545793365835	1545793365921	OK	 
USER	auto online shopping2	20	END	1545793358402	1545793365921
REQUEST	24		getCurrentSingleTask	1545793365935	1545793365942	OK	 
REQUEST	36		completeTask	1545793365865	1545793365953	OK	 
REQUEST	46		getCurrentSingleTask	1545793365960	1545793365967	OK	 
REQUEST	28		completeTask	1545793365896	1545793365987	OK	 
REQUEST	40		getCurrentSingleTask	1545793366011	1545793366019	OK	 
REQUEST	43		completeTask	1545793365976	1545793366051	OK	 
REQUEST	21		completeTask	1545793365992	1545793366080	OK	 
USER	auto online shopping2	21	END	1545793358644	1545793366080
USER	auto online shopping2	52	START	1545793366101	1545793366101
REQUEST	33		getCurrentSingleTask	1545793366101	1545793366108	OK	 
REQUEST	41		getCurrentSingleTask	1545793366117	1545793366124	OK	 
REQUEST	25		getCurrentSingleTask	1545793366132	1545793366138	OK	 
REQUEST	49		startProcessInstanceById	1545793366039	1545793366159	OK	 
REQUEST	29		completeTask	1545793366071	1545793366163	OK	 
REQUEST	37		completeTask	1545793366054	1545793366164	OK	 
REQUEST	47		getCurrentSingleTask	1545793366164	1545793366173	OK	 
REQUEST	34		getCurrentSingleTask	1545793366211	1545793366218	OK	 
REQUEST	44		completeTask	1545793366148	1545793366221	OK	 
REQUEST	38		completeTask	1545793366181	1545793366258	OK	 
USER	auto online shopping2	53	START	1545793366291	1545793366291
REQUEST	26		getCurrentSingleTask	1545793366289	1545793366296	OK	 
REQUEST	22		completeTask	1545793366226	1545793366303	OK	 
USER	auto online shopping2	22	END	1545793358895	1545793366303
REQUEST	35		getCurrentSingleTask	1545793366325	1545793366333	OK	 
REQUEST	50		startProcessInstanceById	1545793366242	1545793366334	OK	 
REQUEST	30		completeTask	1545793366261	1545793366339	OK	 
REQUEST	42		getCurrentSingleTask	1545793366366	1545793366373	OK	 
REQUEST	31		completeTask	1545793366304	1545793366380	OK	 
REQUEST	48		getCurrentSingleTask	1545793366413	1545793366421	OK	 
REQUEST	45		completeTask	1545793366350	1545793366425	OK	 
REQUEST	39		completeTask	1545793366381	1545793366455	OK	 
REQUEST	27		getCurrentSingleTask	1545793366460	1545793366466	OK	 
REQUEST	23		completeTask	1545793366397	1545793366491	OK	 
USER	auto online shopping2	23	END	1545793359141	1545793366492
USER	auto online shopping2	54	START	1545793366491	1545793366491
REQUEST	36		getCurrentSingleTask	1545793366506	1545793366513	OK	 
REQUEST	32		completeTask	1545793366431	1545793366522	OK	 
REQUEST	51		startProcessInstanceById	1545793366475	1545793366551	OK	 
REQUEST	28		getCurrentSingleTask	1545793366553	1545793366560	OK	 
REQUEST	43		getCurrentSingleTask	1545793366581	1545793366592	OK	 
REQUEST	24		completeTask	1545793366491	1545793366594	OK	 
USER	auto online shopping2	24	END	1545793359391	1545793366594
REQUEST	46		completeTask	1545793366538	1545793366627	OK	 
REQUEST	40		completeTask	1545793366569	1545793366659	OK	 
USER	auto online shopping2	55	START	1545793366692	1545793366692
REQUEST	49		getCurrentSingleTask	1545793366682	1545793366692	OK	 
REQUEST	52		startProcessInstanceById	1545793366611	1545793366694	OK	 
REQUEST	29		getCurrentSingleTask	1545793366702	1545793366708	OK	 
